,pdfsize,metadata size,pages,xref Length,title characters,images,text,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,JS,Javascript,OpenAction
7474,71.0,374.0,1.0,545.0,30.0,0.0,1.0,51.0,51.0,44.0,44.0,0.0,0.0,12,3.0,0.0,0.0,0.0
4250,4.0,371.0,2.0,13.0,11.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
1616,15.0,180.0,1.0,10.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
2775,135.0,180.0,1.0,77.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,0.0,1.0,1,1.0,1.0,2.0,0.0
10376,93.26712036956037,262.0,1.0,21.0,0.0,1.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
7267,62.0,226.0,2.0,239.0,0.0,0.0,1.0,110.0,110.0,74.0,74.0,2.0,2.0,7,3.0,0.0,0.0,0.0
6826,75.0,262.0,1.0,21.0,0.0,1.0,0.0,45.0,45.0,33.0,33.0,2.0,2.0,7,1.0,0.0,0.0,0.0
5985,78.0,262.0,1.0,21.0,0.0,1.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
7784,92.0,387.0,2.0,415.0,33.0,0.0,1.0,82.0,82.0,76.0,76.0,0.0,0.0,10,2.0,0.0,0.0,0.0
2992,4.0,216.0,1.0,28.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0
7931,81.0,379.0,2.0,379.0,17.0,0.0,1.0,101.0,101.0,39.0,39.0,4.0,4.0,10,2.0,0.0,0.0,0.0
942,3.0,180.0,1.0,10.0,0.0,0.0,0.0,15.0,15.0,2.0,2.0,1.0,1.0,2,1.0,2.0,3.0,1.0
1213,18.0,238.0,1.0,16.0,0.0,0.0,0.0,21.0,21.0,13.0,13.0,0.0,0.0,10,1.0,2.0,4.0,0.0
9152,287.0,180.0,1.0,3266.0,0.0,1.0,1.0,30.0,30.0,18.0,18.0,2.0,2.0,7,1.0,0.0,0.0,0.0
1944,18.0,245.0,1.0,10.0,9.0,0.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
1090,79.0,256.0,1.0,96.0,0.0,0.0,1.0,12.0,13.0,5.0,5.0,1.0,1.0,2,1.0,3.0,4.0,0.0
6157,42.0,298.0,2.0,18.0,0.0,2.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
9133,23.0,298.0,1.0,12.0,0.0,1.0,0.0,22.0,22.0,10.0,10.0,2.0,2.0,7,1.0,0.0,0.0,0.0
10106,30.0,260.0,1.0,12.0,0.0,1.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
2444,7.0,250.0,1.0,15.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,0.0,1.0,1,1.0,2.0,3.0,0.0
8409,251.0,287.0,4.0,105.0,14.0,3.0,1.0,40.0,40.0,15.0,15.0,2.0,2.0,7,4.0,0.0,0.0,0.0
9931,74.0,315.0,1.0,22.0,23.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
4576,34.0,180.0,1.0,16.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
2568,605.0,180.0,1.0,127.0,0.0,0.0,1.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
5477,63.0,340.0,1.0,37.0,51.0,0.0,1.0,36.0,36.0,13.0,13.0,2.0,2.0,7,1.0,0.0,0.0,0.0
11114,82.04440241464901,283.0,1.0,33.0,0.0,15.0,0.0,42.911195170701966,42.911195170701966,13.84459154872844,13.84459154872844,1.9777987926754914,1.9777987926754914,6,1.0666036219735262,0.0,0.0,0.0
6757,94.0,283.0,1.0,25.0,0.0,7.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
4683,481.0,180.0,13.0,58.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
4387,369.0,308.0,7.0,259.0,28.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
3382,12.0,180.0,1.0,77.0,0.0,0.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
7202,68.0,305.0,3.0,555.0,6.0,28.0,1.0,86.0,86.0,50.0,50.0,2.0,2.0,7,3.0,0.0,0.0,0.0
8038,82.0,464.0,2.0,482.0,24.0,0.0,1.0,275.0,275.0,92.0,92.0,2.0,2.0,2,2.0,2.0,3.0,0.0
9721,19.0,252.0,11.0,50.0,0.0,0.0,1.0,16.0,16.0,3.0,3.0,1.0,1.0,2,3.0,0.0,0.0,0.0
7997,99.0,377.0,3.0,538.0,31.0,0.0,1.0,162.0,162.0,154.0,154.0,0.0,0.0,12,2.0,0.0,0.0,0.0
2255,8.0,180.0,1.0,10.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,1.0,1,1.0,1.0,2.0,0.0
4928,8.0,180.0,1.0,10.0,0.0,0.0,0.0,19.0,19.0,7.0,7.0,2.0,2.0,7,1.0,1.0,1.0,1.0
6494,84.0,283.0,1.0,26.0,0.0,8.0,0.0,25.0,25.0,13.0,13.0,2.0,2.0,7,1.0,0.0,0.0,0.0
7858,39.0,388.0,1.0,112.0,24.0,0.0,1.0,66.0,66.0,60.0,60.0,0.0,0.0,10,2.0,0.0,0.0,0.0
9890,51.0,339.0,7.0,29.0,14.0,7.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0
5125,46.0,180.0,3.0,125.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0
6202,88.0,262.0,1.0,21.0,0.0,1.0,0.0,37.0,37.0,24.0,24.0,2.0,2.0,7,2.0,0.0,0.0,0.0
1909,28.0,266.0,1.0,12.0,0.0,1.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
7223,31.0,305.0,1.0,191.0,6.0,5.0,1.0,51.0,51.0,25.0,25.0,2.0,2.0,7,2.0,0.0,0.0,0.0
787,9.0,180.0,1.0,9.0,0.0,0.0,0.0,18.0,18.0,4.0,4.0,1.0,1.0,2,1.0,3.0,4.0,1.0
8379,267.0,466.0,2.0,366.0,24.0,0.0,1.0,204.0,204.0,83.0,83.0,3.0,3.0,10,2.0,2.0,3.0,0.0
4599,41.0,180.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,11.0,-1.0,19,0.0,-1.0,-1.0,-1.0
8057,33.0,362.0,3.0,118.0,23.0,0.0,1.0,184.0,184.0,178.0,178.0,0.0,0.0,10,2.0,0.0,0.0,0.0
7654,72.0,378.0,2.0,318.0,32.0,0.0,1.0,64.0,64.0,57.0,57.0,0.0,0.0,13,3.0,0.0,0.0,0.0
7491,74.0,362.0,4.0,191.0,19.0,0.0,1.0,244.0,244.0,64.0,64.0,2.0,2.0,2,6.0,2.0,3.0,0.0
9823,186.0,271.0,1.0,51.0,0.0,0.0,1.0,239.0,239.0,13.0,13.0,2.0,2.0,7,5.0,0.0,0.0,0.0
3498,15.0,224.0,0.0,20.0,7.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2,0.0,1.0,1.0,1.0
8673,42.0,376.0,1.0,94.0,32.0,9.0,1.0,34.0,34.0,30.0,30.0,0.0,0.0,7,2.0,0.0,0.0,0.0
569,12.0,373.0,6.0,23.0,9.0,0.0,1.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
10165,94.3873536587708,358.22529268245836,2.0,724.33208537452,13.387353658770813,0.0,1.0,61.126463412291876,61.126463412291876,54.51381707106269,54.51381707106269,0.0,0.0,11,2.612646341229188,0.0,0.0,0.0
3563,6.0,248.0,1.0,10.0,12.0,0.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
6718,85.0,265.0,1.0,21.0,0.0,1.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
8164,33.0,317.0,2.0,275.0,29.0,0.0,1.0,38.0,38.0,10.0,10.0,2.0,2.0,7,7.0,0.0,0.0,0.0
3722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,36.0,36.0,10.0,10.0,2.0,2.0,7,1.0,0.0,0.0,0.0
7492,58.0,379.0,4.0,115.0,25.0,0.0,1.0,129.0,129.0,34.0,34.0,6.0,6.0,10,1.0,20.0,21.0,2.0
7839,78.0,360.0,2.0,571.0,30.0,0.0,1.0,118.0,118.0,41.0,41.0,2.0,2.0,2,1.0,2.0,3.0,0.0
4530,62.0,299.0,1.0,10.0,21.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,2.0,2,0.0,0.0,0.0,0.0
8895,27.0,305.0,4.0,114.0,12.0,0.0,1.0,41.0,41.0,10.0,10.0,2.0,2.0,7,4.0,0.0,0.0,0.0
11075,24.374753228798077,293.24970387455767,1.3751480627211539,102.3759377305673,0.8749506457596155,0.8749506457596155,1.0,33.37475322879808,33.37475322879808,14.999605166076924,14.999605166076924,2.0,2.0,7,1.6252467712019225,0.0,0.0,0.0
3407,306.0,351.0,3.0,32.0,54.0,0.0,1.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
5082,6.0,180.0,2.0,9.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
4843,77.0,325.0,1.0,16.0,16.0,-1.0,2.0,25.0,25.0,11.0,11.0,1.0,1.0,1,2.0,0.0,0.0,0.0
5696,40.0,299.0,2.0,28.0,8.0,0.0,1.0,27.0,27.0,6.0,6.0,1.0,1.0,2,2.0,0.0,0.0,0.0
9751,52.0,229.0,31.0,109.0,0.0,0.0,1.0,26.0,26.0,6.0,6.0,1.0,1.0,2,6.0,0.0,0.0,0.0
3627,46.0,180.0,3.0,15.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0
10009,6.0,309.0,4.0,18.0,84.0,0.0,1.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
6436,73.0,272.0,1.0,21.0,0.0,1.0,0.0,34.0,34.0,31.0,31.0,0.0,0.0,7,1.0,0.0,0.0,0.0
1255,7.0,250.0,1.0,15.0,0.0,0.0,0.0,14.0,14.0,2.0,2.0,1.0,1.0,2,1.0,2.0,3.0,1.0
11090,75.23310449364743,262.0,1.0,21.0,0.0,1.0,0.0,30.3006865190577,30.3006865190577,27.3006865190577,27.3006865190577,0.0,0.0,7,1.0,0.0,0.0,0.0
8649,369.0,357.0,12.0,547.0,32.0,3.0,1.0,400.0,400.0,32.0,32.0,1.0,1.0,2,20.0,0.0,0.0,0.0
6154,99.0,283.0,1.0,33.0,0.0,15.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
10793,62.7657525004442,245.3828762502221,9.403879584147706,63.5105016669628,1.2762541674070054,0.0,1.0,63.021003333925606,63.021003333925606,18.16963208459191,18.16963208459191,1.1276254167407007,1.1276254167407007,2,8.382876250222102,0.0,0.0,0.0
6029,58.0,415.0,1.0,304.0,12.0,1.0,1.0,30.0,30.0,27.0,27.0,0.0,0.0,7,1.0,0.0,0.0,0.0
10347,251.47174797936017,275.9609882899897,1.8596417616099075,110.96098828998967,0.0,0.9044842487100103,1.0,109.19686227966976,109.19686227966976,32.14035823839009,32.14035823839009,2.0,2.0,7,1.8596417616099075,0.0,0.0,0.0
5597,87.0,283.0,1.0,39.0,0.0,21.0,0.0,38.0,38.0,26.0,26.0,2.0,2.0,7,1.0,0.0,0.0,0.0
4194,48.0,280.0,1.0,23.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,2.0,2,0.0,0.0,1.0,0.0
3775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,8.0,7.0,1.0,1.0,0.0,0.0,1,2.0,1.0,1.0,1.0
202,10.0,180.0,1.0,9.0,0.0,0.0,0.0,14.0,14.0,2.0,2.0,1.0,1.0,2,1.0,2.0,3.0,1.0
8515,234.0,2609.0,4.0,1379.0,17.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
1532,22.0,180.0,1.0,3333.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,0.0,1.0,2,0.0,1.0,2.0,0.0
5857,34.0,295.0,7.0,62.0,7.0,0.0,1.0,61.0,61.0,16.0,16.0,2.0,2.0,7,7.0,0.0,0.0,1.0
6246,37.0,298.0,1.0,12.0,0.0,1.0,0.0,26.0,26.0,18.0,18.0,0.0,0.0,2,6.0,0.0,0.0,0.0
5887,98.0,330.0,6.0,230.0,35.0,0.0,1.0,229.0,229.0,12.0,12.0,2.0,2.0,7,6.0,0.0,0.0,1.0
596,46.0,327.0,1.0,59.0,62.0,0.0,1.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
8886,183.0,283.0,24.0,100.0,28.0,0.0,1.0,99.0,99.0,25.0,25.0,1.0,1.0,2,24.0,0.0,0.0,0.0
4116,64.0,348.0,1.0,16.0,16.0,-1.0,2.0,21.0,21.0,11.0,11.0,1.0,1.0,2,1.0,5.0,6.0,0.0
8959,23.0,298.0,1.0,12.0,0.0,1.0,0.0,204.0,204.0,56.0,56.0,1.0,1.0,2,40.0,0.0,0.0,0.0
9919,77.0,346.0,1.0,16.0,16.0,-1.0,2.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
10225,60.0,352.15435716204206,2.0,44.84564283795794,42.15435716204206,0.0,1.0,43.84564283795794,43.84564283795794,18.0,18.0,2.0,2.0,7,2.0,0.0,0.0,1.0
1758,17.0,180.0,1.0,10.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0
299,8.0,180.0,0.0,1991.0,0.0,0.0,0.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
9974,76.0,337.0,1.0,16.0,16.0,-1.0,2.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
800,12.0,180.0,1.0,9.0,0.0,0.0,0.0,21.0,21.0,7.0,7.0,2.0,2.0,7,1.0,2.0,3.0,0.0
2198,15.0,483.0,6.0,23.0,14.0,0.0,1.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
5112,62.0,214.0,2.0,30.0,5.0,-1.0,2.0,175.0,170.0,117.0,117.0,0.0,0.0,2,48.0,1.0,1.0,0.0
7689,42.0,369.0,6.0,126.0,17.0,0.0,1.0,49.0,49.0,27.0,27.0,0.0,0.0,2,0.0,0.0,0.0,0.0
4175,9.0,408.0,5.0,21.0,93.0,0.0,1.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,5.0,6.0,0.0
1825,15.0,224.0,0.0,20.0,7.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0
6327,82.0,283.0,1.0,34.0,0.0,16.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
2582,6.0,254.0,1.0,10.0,7.0,0.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
7324,45.0,478.0,6.0,509.0,60.0,0.0,1.0,368.0,368.0,22.0,22.0,3.0,3.0,10,8.0,0.0,0.0,0.0
10515,99.48035512108146,283.0,1.1601183736938183,36.32023674738764,0.0,17.83988162630618,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
10599,23.004899562378334,252.99836681254055,12.0,48.00163318745945,0.0,0.0,1.0,44.988567687783885,44.988567687783885,12.00326637491889,12.00326637491889,2.0,2.0,7,10.988567687783885,0.0,0.0,0.0
571,2.0,180.0,1.0,111612.0,0.0,0.0,0.0,22.0,22.0,8.0,8.0,3.0,3.0,10,2.0,1.0,1.0,0.0
2300,8.0,180.0,1.0,11.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0
1543,2.0,248.0,1.0,15.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
1278,7.0,180.0,1.0,10.0,0.0,0.0,0.0,17.0,17.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0
